title,price,category,rating,availability
A Light in the Attic,51.77,Poetry,Three,In stock (22 available)
Tipping the Velvet,53.74,Historical Fiction,One,In stock (20 available)
Soumission,50.1,Fiction,One,In stock (20 available)
Sharp Objects,47.82,Mystery,Four,In stock (20 available)
Sapiens: A Brief History of Humankind,54.23,History,Five,In stock (20 available)
The Requiem Red,22.65,Young Adult,One,In stock (19 available)
The Dirty Little Secrets of Getting Your Dream Job,33.34,Business,Four,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Default,Three,In stock (19 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Default,Four,In stock (19 available)
The Black Maria,52.15,Poetry,One,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Default,Two,In stock (19 available)
Shakespeare's Sonnets,20.66,Poetry,Four,In stock (19 available)
Set Me Free,17.46,Young Adult,Five,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Sequential Art,Five,In stock (19 available)
Rip it Up and Start Again,35.02,Music,Five,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Music,Three,In stock (19 available)
Olio,23.88,Poetry,One,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Science Fiction,One,In stock (19 available)
Libertarianism for Beginners,51.33,Politics,Two,In stock (19 available)
It's Only the Himalayas,45.17,Travel,Two,In stock (19 available)
In Her Wake,12.84,Thriller,One,In stock (19 available)
How Music Works,37.32,Music,Two,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Food and Drink,Three,In stock (19 available)
Chase Me (Paris Nights #2),25.27,Romance,Five,In stock (19 available)
Black Dust,34.53,Romance,Five,In stock (19 available)
Birdsong: A Story in Pictures,54.64,Childrens,Three,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Default,Three,In stock (19 available)
Aladdin and His Wonderful Lamp,53.13,Default,Three,In stock (19 available)
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Nonfiction,Five,In stock (18 available)
Wall and Piece,44.18,Art,Four,In stock (18 available)
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Spirituality,Five,In stock (18 available)
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Nonfiction,Three,In stock (18 available)
The Elephant Tree,23.82,Thriller,Five,In stock (18 available)
The Bear and the Piano,36.89,Childrens,One,In stock (18 available)
Sophie's World,15.94,Philosophy,Five,In stock (18 available)
Penny Maybe,33.29,Default,Three,In stock (18 available)
Maude (1883-1993):She Grew Up with the country,18.02,Default,Two,In stock (18 available)
"In a Dark, Dark Wood",19.63,Mystery,One,In stock (18 available)
Behind Closed Doors,52.22,Thriller,Four,In stock (18 available)
You can't bury them all: Poems,33.63,Poetry,Two,In stock (17 available)
Slow States of Collapse: Poems,57.31,Poetry,Three,In stock (17 available)
Reasons to Stay Alive,26.41,Nonfiction,Two,In stock (17 available)
Private Paris (Private #10),47.61,Fiction,Five,In stock (17 available)
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Nonfiction,Five,In stock (17 available)
Without Borders (Wanderlove #1),45.07,New Adult,Two,In stock (16 available)
When We Collided,31.77,Contemporary,One,In stock (16 available)
"We Love You, Charlie Freeman",50.27,Fiction,Five,In stock (16 available)
Untitled Collection: Sabbath Poems 2014,14.27,Poetry,Four,In stock (16 available)
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Nonfiction,Four,In stock (16 available)
Unicorn Tracks,18.78,Fantasy,Three,In stock (16 available)
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,History,One,In stock (16 available)
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,Sequential Art,One,In stock (16 available)
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Nonfiction,Three,In stock (16 available)
This One Summer,19.49,Sequential Art,Four,In stock (16 available)
Thirst,17.27,Fiction,Five,In stock (16 available)
The Torch Is Passed: A Harding Family Story,19.09,Add a comment,One,In stock (16 available)
The Secret of Dreadwillow Carse,56.13,Childrens,One,In stock (16 available)
