source,title,price,category,rating,availability,scraped_at
books_toscrape,A Light in the Attic,51.77,Poetry,Three,In stock (22 available),2025-09-24T12:40:21.618064
books_toscrape,Tipping the Velvet,53.74,Historical Fiction,One,In stock (20 available),2025-09-24T12:40:22.173733
books_toscrape,Soumission,50.1,Fiction,One,In stock (20 available),2025-09-24T12:40:22.972085
books_toscrape,Sharp Objects,47.82,Mystery,Four,In stock (20 available),2025-09-24T12:40:23.778021
books_toscrape,Sapiens: A Brief History of Humankind,54.23,History,Five,In stock (20 available),2025-09-24T12:40:24.625300
books_toscrape,The Requiem Red,22.65,Young Adult,One,In stock (19 available),2025-09-24T12:40:25.494524
books_toscrape,The Dirty Little Secrets of Getting Your Dream Job,33.34,Business,Four,In stock (19 available),2025-09-24T12:40:26.347193
books_toscrape,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Default,Three,In stock (19 available),2025-09-24T12:40:27.217091
books_toscrape,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Default,Four,In stock (19 available),2025-09-24T12:40:28.031180
books_toscrape,The Black Maria,52.15,Poetry,One,In stock (19 available),2025-09-24T12:40:29.818290
books_toscrape,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Default,Two,In stock (19 available),2025-09-24T12:40:30.628763
books_toscrape,Shakespeare's Sonnets,20.66,Poetry,Four,In stock (19 available),2025-09-24T12:40:31.422880
books_toscrape,Set Me Free,17.46,Young Adult,Five,In stock (19 available),2025-09-24T12:40:32.214482
books_toscrape,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Sequential Art,Five,In stock (19 available),2025-09-24T12:40:33.006347
books_toscrape,Rip it Up and Start Again,35.02,Music,Five,In stock (19 available),2025-09-24T12:40:33.787318
books_toscrape,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Music,Three,In stock (19 available),2025-09-24T12:40:34.585491
books_toscrape,Olio,23.88,Poetry,One,In stock (19 available),2025-09-24T12:40:35.570419
books_toscrape,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,Science Fiction,One,In stock (19 available),2025-09-24T12:40:36.441476
