source,title,price,category,rating,availability,scraped_at,title_clean,availability_standardized,price_category,rating_category
books_toscrape,A Light in the Attic,51.77,Poetry,3,In stock (22 available),2025-09-24 12:40:21.618064,a light in the attic,In Stock,Premium,Average
books_toscrape,Tipping the Velvet,53.74,Historical Fiction,1,In stock (20 available),2025-09-24 12:40:22.173733,tipping the velvet,In Stock,Premium,Very Poor
books_toscrape,Soumission,50.1,Fiction,1,In stock (20 available),2025-09-24 12:40:22.972085,soumission,In Stock,Premium,Very Poor
books_toscrape,Sharp Objects,47.82,Mystery,4,In stock (20 available),2025-09-24 12:40:23.778021,sharp objects,In Stock,Mid-range,Good
books_toscrape,Sapiens: A Brief History of Humankind,54.23,History,5,In stock (20 available),2025-09-24 12:40:24.625300,sapiens a brief history of humankind,In Stock,Premium,Excellent
books_toscrape,The Requiem Red,22.65,Young Adult,1,In stock (19 available),2025-09-24 12:40:25.494524,the requiem red,In Stock,Affordable,Very Poor
books_toscrape,The Dirty Little Secrets of Getting Your Dream Job,33.34,Business,4,In stock (19 available),2025-09-24 12:40:26.347193,the dirty little secrets of getting your dream job,In Stock,Mid-range,Good
books_toscrape,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Default,3,In stock (19 available),2025-09-24 12:40:27.217091,"the coming woman a novel based on the life of the infamous feminist, victoria woodhull",In Stock,Affordable,Average
books_toscrape,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Default,4,In stock (19 available),2025-09-24 12:40:28.031180,the boys in the boat nine americans and their epic quest for gold at the 1936 berlin olympics,In Stock,Affordable,Good
books_toscrape,The Black Maria,52.15,Poetry,1,In stock (19 available),2025-09-24 12:40:29.818290,the black maria,In Stock,Premium,Very Poor
books_toscrape,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Default,2,In stock (19 available),2025-09-24 12:40:30.628763,"starving hearts triangular trade trilogy, 1",In Stock,Affordable,Poor
